synthetic_id,contract_type,tenure_months,installation_delay_days,support_touchpoints,autopay,engagement_index,cancelled
SYN-001,two-year,48,1,0,yes,88,0
SYN-002,one-year,21,3,1,yes,74,0
SYN-003,month-to-month,2,17,6,no,24,1
SYN-004,month-to-month,5,9,4,no,39,1
SYN-005,one-year,15,4,2,yes,63,0
SYN-006,two-year,37,2,1,yes,81,0
SYN-007,month-to-month,8,11,5,no,35,1
SYN-008,one-year,10,7,3,no,51,0
SYN-009,two-year,55,0,0,yes,91,0
SYN-010,month-to-month,3,20,7,no,18,1
SYN-011,one-year,28,5,2,yes,68,0
SYN-012,month-to-month,12,6,2,yes,59,0
SYN-013,two-year,44,3,1,yes,79,0
SYN-014,one-year,6,14,5,no,31,1
SYN-015,month-to-month,19,4,3,no,56,0
SYN-016,two-year,32,2,0,yes,84,0
SYN-017,month-to-month,4,16,6,no,27,1
SYN-018,one-year,23,8,2,yes,61,0
SYN-019,two-year,51,1,1,yes,87,0
SYN-020,month-to-month,7,12,4,no,43,1
